Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
#NAME?,,,,,,,,,,,,,,
Tests Hatfield Government Center MAX Station (9848) departure to Pioneer Courthouse Square,"45.522685,-122.991058","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9848.*MAX,,,,
Tests Hillsboro Central/SE 3rd TC MAX Station (9846) departure to Pioneer Courthouse Square,"45.521772,-122.984382","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9846.*MAX,,,,
Tests Tuality Hospital/SE 8th Ave MAX Station (9843) departure to Pioneer Courthouse Square,"45.521492,-122.977253","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9843.*MAX,,,,
Tests Washington/SE 12th Ave MAX Station (9841) departure to Pioneer Courthouse Square,"45.520911,-122.970118","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9841.*MAX,,,,
Tests Fair Complex/Hillsboro Airport MAX Station (9838) departure to Pioneer Courthouse Square,"45.526663,-122.944099","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9838.*MAX,,,,
Tests Hawthorn Farm MAX Station (9839) departure to Pioneer Courthouse Square,"45.529125,-122.930916","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9839.*MAX,,,,
Tests Orenco/NW 231st Ave MAX Station (9835) departure to Pioneer Courthouse Square,"45.529804,-122.916789","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9835.*MAX,,,,
Tests Quatama/NW 205th Ave MAX Station (9834) departure to Pioneer Courthouse Square,"45.522599,-122.889990","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9834.*MAX,,,,
Tests Willow Creek/SW 185th Ave TC MAX Station (9831) departure to Pioneer Courthouse Square,"45.517080,-122.867538","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9831.*MAX,,,,
Tests Elmonica/SW 170th Ave MAX Station (9830) departure to Pioneer Courthouse Square,"45.509490,-122.851998","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9830.*MAX,,,,
Tests Merlo Rd/SW 158th Ave MAX Station (9828) departure to Pioneer Courthouse Square,"45.505287,-122.844017","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9828.*MAX,,,,
Tests Beaverton Creek MAX Station (9822) departure to Pioneer Courthouse Square,"45.499350,-122.834078","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9822.*MAX,,,,
Tests Millikan Way MAX Station (9826) departure to Pioneer Courthouse Square,"45.494518,-122.821061","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9826.*MAX,,,,
Tests Beaverton Central MAX Station (9824) departure to Pioneer Courthouse Square,"45.490186,-122.805895","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9824.*MAX,,,,
Tests Beaverton TC MAX Station (9821) departure to Pioneer Courthouse Square,"45.491210,-122.802492","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9821.*MAX,,,,
#Tests Sunset TC MAX Station (9969) departure to Pioneer Courthouse Square,"45.509622,-122.783836","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9969.*MAX,,,,
#Tests Sunset TC MAX Station (9624) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.511587,-122.778350","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,MAX.*9624,,,,
Tests Washington Park MAX Station (10120) departure to Pioneer Courthouse Square,"45.510245,-122.715867","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,10120.*MAX,,,,
Tests Goose Hollow/SW Jefferson St MAX Station (10118) departure to Pioneer Courthouse Square,"45.518125,-122.694454","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,10118.*MAX,,,,
Tests Kings Hill/SW Salmon St MAX Station (9759) departure to Pioneer Courthouse Square,"45.519958,-122.691288","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9759.*MAX,,,,
Tests JELD-WEN Field MAX Station (9758) departure to Pioneer Courthouse Square,"45.521111,-122.689567","45.518875,-122.679290","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,9758.*MAX,,,,
Tests Library/SW 9th Ave MAX Station (8333) departure to Cleveland Ave P&R,"45.519522,-122.682378","45.502356,-122.417780","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,8333.*MAX,,,,"Was walking, changed coords"
Tests Mall/SW 4th Ave MAX Station (8335) arrival from Hatfield Terminus,"45.521918,-122.990675","45.517789,-122.676796","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,MAX.*8335,,,,"Was walking, changed coords"
Tests Yamhill District MAX Station (8336) arrival from Hatfield Terminus,"45.521918,-122.990675","45.517025,-122.673815","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,MAX.*8336,,,,"Was walking, changed coords"
Tests Oak/SW 1st Ave MAX Station (8337) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.520460,-122.672442","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,MAX.*8337,,,,
"TODO: this test is a bit broken, since we don't land on stop 8338 for some reason unless we use a 1/10mi walk (with 1/2mile walk, the trip is on the mall vs Red/Blue).  Tests Pioneer Courthouse Square to Skidmore Fountain MAX Station (8338)","45.518875,-122.679290","45.523726,-122.671275","TRAINISH,WALK",9:11 AM,,QUICK,160,,,MAX.*8338,,,,
Tests Old Town/Chinatown MAX Station (8339) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.524587,-122.671103","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,MAX.*8339,,,,
Tests Rose Quarter TC MAX Station (8340) arrival from Pioneer Courthouse Square,"45.518875,-122.679290","45.530007,-122.664562","TRAINISH,WALK",9:11 AM,,QUICK,1609,,,MAX.*8340,,,,
